type,name,comp,IMB,IMV,B,V,delta_b_minus_v,delta_B_minus_V,delta_b,delta_v,comp_b_minus_v,B_star,V_star,outlier,color,JD,KMAGS,KMAGINS,KREFMAG,T_bv,Tv_bv,VMAGINS,Date-Obs,KNAME,AMASS
check,153,145.0,-6.43976098170427,-7.079933269163083,15.174,14.469,-0.1356810552468497,-0.16037500730177634,0.6797607200647064,0.8154417753115561,0.6401722874588138,15.847506094779936,15.302884901151259,,,,,,,,,,,,
check,153,123.0,-8.449252311809325,-9.228371614027807,13.217,12.287,-0.2746280700065187,-0.32461037874770504,2.6892520501697614,2.96388012017628,0.7791193022184828,15.893592245398601,15.288210313732268,,,,,,,,,,,,
check,153,150.0,-5.900812701628983,-6.548730235791015,15.718,14.996,-0.14342630195006834,-0.16952988890498077,0.1408124399894195,0.28423874193948784,0.6479175341620325,15.852200774322124,15.299734679163562,,,,,,,,,,,,
check,153,138.0,-7.164216030737924,-7.751765687750219,14.48,13.849,-0.08305842480033121,-0.09817505811399148,1.4042157690983608,1.487274193898692,0.5875496570122953,15.880386941831915,15.347564325581802,,,,,,,,,,,,
check,153,161.0,-4.778688534171948,-5.514180465553991,16.909,16.067,-0.23100069917007904,-0.27304282641903344,-0.9813117274676149,-0.7503110282975358,0.7354919313820432,15.917039602302042,15.348088896740654,,,,,,,,,,,,
check,153,129.0,-7.958612177704447,-8.626944625106747,13.689,12.914,-0.16384121519033545,-0.1936603163549765,2.198611916064884,2.3624531312552195,0.6683324474022996,15.88005916372704,15.29872406763604,,,,,,,,,,,,
check,153,164.0,-4.431804188254515,-5.164573025366062,17.197,16.386,-0.22827760489958315,-0.26982412899130725,-1.3281960733850484,-1.0999184684854653,0.7327688371115473,15.85828078558429,15.317111306348535,,,,,,,,,,,,
check,153,157.0,-5.156097405653108,-5.849279530749115,16.515,15.749,-0.1886908928840425,-0.22303263538893822,-0.6039028559864548,-0.41521196310241226,0.6931821250960066,15.902398871233377,15.359436789967317,,,,,,,,,,,,
var,V1117 Her,145.0,-6.43976098170427,-7.079933269163083,15.174,14.469,-0.30284740116956144,-0.3579656281824216,-2.254240577039109,-1.9513931758695477,0.6401722874588138,12.905798763461776,12.55877287137143,,,,,,,,,,,,
var,V1117 Her,123.0,-8.449252311809325,-9.228371614027807,13.217,12.287,-0.4417944159292304,-0.5222009996283503,-0.2447492469340542,0.1970451689951762,0.7791193022184828,12.951884914080441,12.544098283952437,,,,,,,,,,,,
var,V1117 Her,150.0,-5.900812701628983,-6.548730235791015,15.718,14.996,-0.31059264787278007,-0.36712050978562605,-2.793188857114396,-2.482596209241616,0.6479175341620325,12.910493443003965,12.555622649383732,,,,,,,,,,,,
var,V1117 Her,138.0,-7.164216030737924,-7.751765687750219,14.48,13.849,-0.25022477072304294,-0.29576567899463674,-1.5297855280054549,-1.279560757282412,0.5875496570122953,12.938679610513756,12.603452295801972,,,,,,,,,,,,
var,V1117 Her,161.0,-4.778688534171948,-5.514180465553991,16.909,16.067,-0.3981670450927908,-0.47063344729967865,-3.9153130245714305,-3.5171459794786397,0.7354919313820432,12.97533227098388,12.603976866960824,,,,,,,,,,,,
var,V1117 Her,129.0,-7.958612177704447,-8.626944625106747,13.689,12.914,-0.3310075611130472,-0.39125093723562177,-0.7353893810389316,-0.4043818199258844,0.6683324474022996,12.938351832408879,12.554612037856211,,,,,,,,,,,,
var,V1117 Her,164.0,-4.431804188254515,-5.164573025366062,17.197,16.386,-0.3954439508222949,-0.46741474987195253,-4.262197370488864,-3.866753419666569,0.7327688371115473,12.916573454266128,12.572999276568705,,,,,,,,,,,,
var,V1117 Her,157.0,-5.156097405653108,-5.849279530749115,16.515,15.749,-0.35585723880675424,-0.42062325626958347,-3.5379041530902704,-3.182046914283516,0.6931821250960066,12.960691539915217,12.615324760187487,,,,,,,,,,,,
,,,,,,,,,,,,,,,B,2459793.5945993057,15.878933059897417,-5.760000261639563,15.878,1.182,-0.115,-8.694001558743379,2459793.594946528,153,na
,,,,,,,,,,,,,,,V,2459793.5843041665,15.32021941004018,-6.264491493851527,15.324,1.182,-0.115,-9.031326445032631,2459793.5846513887,153,na
