x,y,stale
289,106,False
626,120,False
260,111,False
809,108,False
163,107,False
1182,84,False
465,49,False
912,130,False
660,133,False
554,201,False
838,229,False
766,217,False
1161,139,False
764,256,False
601,224,False
823,328,False
70,349,False
509,371,False
260,274,False
707,327,False
1034,384,False
306,428,False
1031,429,False
959,432,False
466,421,False
1082,400,False
207,390,False
1116,397,False
561,398,False
1043,563,False
249,583,False
349,524,False
796,531,False
136,493,False
502,499,False
914,618,False
921,627,False
9,643,False
92,678,False
1150,659,False
679,638,False
530,606,False
978,599,False
1171,768,False
1019,733,False
557,715,False
225,713,False
19,745,False
554,759,False
565,754,False
1103,30,False
1148,19,False
100,31,False
773,51,False
116,180,False
457,146,False
1004,132,False
630,114,False
701,129,False
1136,130,False
1084,212,False
197,225,False
1094,252,False
263,268,False
769,211,False
519,300,False
653,301,False
221,344,False
292,362,False
720,273,False
39,418,False
963,426,False
310,422,False
1035,423,False
1085,393,False
1119,391,False
1038,377,False
674,378,False
671,445,False
340,451,False
567,490,False
328,442,False
864,457,False
92,444,False
1118,457,False
1056,510,False
924,539,False
221,537,False
1185,571,False
534,591,False
982,592,False
46,612,False
917,611,False
731,618,False
699,658,False
73,677,False
824,669,False
718,621,False
1174,762,False
1137,765,False
567,748,False
273,753,False
930,714,False
22,739,False
558,753,True
1081,692,False
348,714,False
1148,783,False
